# ATLAS_2016_I1458270
# mass_1000021         mass_1000022           2jl                    2jm                    2jt                    4jt                    5j                     6jm                    6jt                    
1.189985e+03           3.824180e+02           2.35e-01               2.37e-01               5.15e-02               5.99e-02               1.10e-01               6.30e-02               5.19e-02               
1.400230e+03           2.467079e+02           2.90e-01               3.34e-01               1.33e-01               1.71e-01               1.51e-01               8.22e-02               9.80e-02               
1.608600e+03           8.746324e+02           2.95e-01               2.98e-01               8.02e-02               7.51e-02               1.45e-01               8.17e-02               6.46e-02               
1.178514e+03           1.151822e+03           1.46e-02               1.70e-02               3.20e-03               4.00e-04               5.00e-04               2.00e-04               2.00e-04               
7.876479e+02           1.739498e+01           8.54e-02               5.89e-02               5.90e-03               1.23e-02               3.72e-02               2.15e-02               1.31e-02               
1.174986e+03           1.286472e+02           2.26e-01               2.51e-01               7.20e-02               1.03e-01               1.20e-01               6.62e-02               7.22e-02               
1.717199e+03           6.211485e+01           3.14e-01               3.74e-01               1.88e-01               2.40e-01               1.54e-01               8.58e-02               1.18e-01               
1.235151e+03           1.162237e+03           1.90e-02               2.86e-02               9.52e-03               0.00e+00               0.00e+00               0.00e+00               0.00e+00               
1.635671e+03           6.145220e+02           3.51e-01               4.00e-01               1.80e-01               1.86e-01               1.77e-01               9.60e-02               1.06e-01               
9.882035e+02           3.368012e+02           1.58e-01               1.18e-01               1.58e-02               1.86e-02               6.53e-02               3.98e-02               2.34e-02               
2.093058e+03           2.567435e+02           3.89e-01               4.61e-01               2.62e-01               2.95e-01               1.79e-01               1.04e-01               1.38e-01               
1.525253e+03           1.182194e+03           5.50e-02               4.02e-02               8.10e-03               6.00e-03               1.96e-02               1.43e-02               6.80e-03               
1.254517e+03           1.176642e+03           1.31e-02               1.82e-02               3.20e-03               3.00e-04               1.30e-03               9.00e-04               5.00e-04               
1.489138e+03           9.631199e+02           1.82e-01               1.21e-01               2.18e-02               2.02e-02               6.71e-02               4.15e-02               2.19e-02               
1.156887e+03           2.640668e+02           2.31e-01               2.45e-01               6.11e-02               7.10e-02               1.18e-01               6.86e-02               5.95e-02               
1.246179e+03           4.154500e+02           2.58e-01               2.66e-01               6.67e-02               7.40e-02               1.33e-01               7.30e-02               6.31e-02               
1.929540e+03           1.524750e+03           9.98e-02               5.90e-02               1.44e-02               8.50e-03               3.30e-02               2.24e-02               9.00e-03               
2.038139e+03           7.122327e+02           4.21e-01               4.88e-01               2.75e-01               2.99e-01               2.09e-01               1.12e-01               1.40e-01               
2.246405e+03           1.266483e+03           4.23e-01               4.76e-01               2.56e-01               2.15e-01               2.05e-01               1.12e-01               1.17e-01               
1.742430e+03           1.516369e+03           2.32e-02               2.71e-02               3.90e-03               1.70e-03               6.50e-03               4.30e-03               1.90e-03               
1.914745e+03           1.381266e+03           2.15e-01               1.43e-01               2.78e-02               2.15e-02               7.59e-02               4.37e-02               2.38e-02               
1.741411e+03           1.289273e+03           1.39e-01               7.99e-02               1.52e-02               1.21e-02               4.62e-02               3.02e-02               1.49e-02               
1.492870e+03           9.747639e+01           2.82e-01               3.32e-01               1.49e-01               2.10e-01               1.47e-01               8.22e-02               1.10e-01               
1.834966e+03           1.293463e+03           2.21e-01               1.52e-01               3.02e-02               2.49e-02               8.08e-02               4.75e-02               2.66e-02               
2.242330e+03           3.580983e+02           4.12e-01               4.92e-01               2.86e-01               3.05e-01               1.89e-01               1.10e-01               1.41e-01               
1.208336e+03           8.629910e+02           4.69e-02               3.46e-02               5.50e-03               4.50e-03               1.92e-02               1.29e-02               6.10e-03               
1.141843e+03           1.080775e+03           1.06e-02               1.48e-02               2.70e-03               2.00e-04               1.10e-03               1.00e-03               3.00e-04               
4.703420e+02           7.313618e+01           4.80e-03               3.00e-03               2.00e-04               6.00e-04               2.60e-03               1.80e-03               1.00e-03               
1.289698e+03           6.787070e+02           2.07e-01               1.63e-01               2.70e-02               3.11e-02               9.12e-02               5.48e-02               3.43e-02               
1.419548e+03           4.306359e+02           3.04e-01               3.42e-01               1.31e-01               1.47e-01               1.64e-01               8.84e-02               9.83e-02               
